id,figure_type,filename,tags,use_case,source,notes
image1,line,examples/line/image1.png,line|time_series|inset|legend|grid_light,Show temporal or continuous-axis trend and compare series.,,
image10,bar,examples/bar/image10.png,bar|grouped|comparison|grid_light,Compare categorical values across groups.,,
image11,heatmap,examples/heatmap/image11.png,heatmap|correlation|matrix|colorbar,Summarize pairwise correlations in a matrix view.,,
image12,bar,examples/bar/image12.png,histogram|distribution|small_multiples|bar,Show the distribution of values using binned counts.,,
image13,line,examples/line/image13.png,line|time_series|dual_axis|legend,Show temporal or continuous-axis trend and compare series.,,
image14,line,examples/line/image14.png,line|time_series|event_markers|annotation,Show temporal or continuous-axis trend and compare series.,,
image15,bar,examples/bar/image15.png,bar|stacked|composition|categorical,Compare composition across categories with stacked bars.,,
image16,scatter,examples/scatter/image16.png,scatter|cluster|legend|multigroup,Show clustered observations in feature space.,,
image17,line,examples/line/image17.png,line|sensitivity|multi_series|legend,Show temporal or continuous-axis trend and compare series.,,
image18,line,examples/line/image18.png,line|small_multiples|comparison,Compare trends across multiple panels for different subsets.,,
image19,scatter,examples/scatter/image19.png,scatter|pairplot|multivariate|small_multiples,Show relationship between two variables.,,
image2,scatter,examples/scatter/image2.png,scatter|regression|multi_panel|grid_light|legend,Show relationship between two variables.,,
image20,line,examples/line/image20.png,line|distribution|area_fill|dual_panel,Show temporal or continuous-axis trend and compare series.,,
image21,bar,examples/bar/image21.png,histogram|distribution|bar|ci_band,Show the distribution of values using binned counts.,,
image22,line,examples/line/image22.png,line|multi_series|convergence|legend,Show temporal or continuous-axis trend and compare series.,,
image23,scatter,examples/scatter/image23.png,scatter|bubble|ranking|annotation,Compare entities using position and size encodings.,,
image24,line,examples/line/image24.png,line|time_series|multi_panel|comparison,Show temporal or continuous-axis trend and compare series.,,
image25,line,examples/line/image25.png,line|time_series|noise|comparison,Show temporal or continuous-axis trend and compare series.,,
image26,line,examples/line/image26.png,line|acf_pacf|diagnostic|small_multiples,Compare trends across multiple panels for different subsets.,,
image27,line,examples/line/image27.png,line|forecast|ci_band|time_series,Show time-series trend with forecast and uncertainty interval.,,
image28,bar,examples/bar/image28.png,bar|horizontal|ranking|feature_importance,Rank categories/features by magnitude for comparison.,,
image29,line,examples/line/image29.png,line|small_multiples|acf|diagnostic,Diagnose time-series autocorrelation structure across lags.,,
image3,diagram,examples/diagram/image3.png,boxplot|statistical_summary|comparison,Compare distribution and variability across multiple groups (boxplot summary).,,
image30,line,examples/line/image30.png,line|density_curve|multi_series|smooth,Compare distribution curves across groups or conditions.,,
image31,heatmap,examples/heatmap/image31.png,heatmap|correlation|matrix|colorbar,Summarize pairwise correlations in a matrix view.,,
image32,line,examples/line/image32.png,histogram|distribution|bar|density,Show temporal or continuous-axis trend and compare series.,,
image33,line,examples/line/image33.png,line|multi_series|comparison|legend,Show temporal or continuous-axis trend and compare series.,,
image34,diagram,examples/diagram/image34.png,radar|spider|multivariate|circular,Compare multivariate scores across dimensions.,,
image35,silhouette,examples/silhouette/image35.png,bar|horizontal|ranking,Summarize the main pattern for the figure.,,
image36,line,examples/line/image36.png,line|small_multiples|diagnostic,Compare trends across multiple panels for different subsets.,,
image37,line,examples/line/image37.png,line|time_series|inset|ci_band,Show time-series trend with forecast and uncertainty interval.,,
image38,heatmap,examples/heatmap/image38.png,heatmap|correlation|matrix|colorbar,Summarize pairwise correlations in a matrix view.,,
image39,line,examples/line/image39.png,line|small_multiples|time_series,Compare trends across multiple panels for different subsets.,,
image4,line,examples/line/image4.png,line|density_curve|comparison|smooth,Compare distribution curves across groups or conditions.,,
image40,scatter,examples/scatter/image40.png,scatter|cluster|2d|legend,Show clustered observations in feature space.,,
image41,scatter,examples/scatter/image41.png,scatter|3d|cluster|legend,Show clustered observations in feature space.,,
image42,line,examples/line/image42.png,line|area|stacked|composition,Show temporal or continuous-axis trend and compare series.,,
image43,line,examples/line/image43.png,line|multi_series|time_series|legend,Show temporal or continuous-axis trend and compare series.,,
image44,bar,examples/bar/image44.png,bar|stacked|categorical|composition,Compare composition across categories with stacked bars.,,
image45,bar,examples/bar/image45.png,bar|3d|grouped|comparison,Compare categorical values across groups.,,
image46,bar,examples/bar/image46.png,histogram|distribution|bar,Show the distribution of values using binned counts.,,
